nebo;o;
k, ke;a;
v, ve;en;
v čem;en que;
ale;pero;
do;hasta;
ani;ni;
dnes;hoy;
včera;ayer;
pozítří;pasado mañana;
día;den;
tarde;večer;
teď;ahoa;
medio;půl;
menos;mínus;
vždycky;siempre;
později;luego;
fin;konec;
tady;aquí;
blízko;cerco;
domov;casa;
škola;escuela;
kino;cine;
cesta;viaje;
dorazit;llegar;
daleko;lejos;
tak;pues;jako řečový výplněk
běžně;normalmente;
něco;algo;
¿Hay cerveza?;Dáš si pivo?;
quién;kdo;
dónde;kde;
cuando;kdy;
Quiénes son;Kdo jsou;
Quién es;Kdo je;
¿Qué tal?;Jak se máš?;
¿De dónde son?;Odkud jste?;
¿Dónde esta?;Kde jste?;
jít;ir;
jdu;voy;
jdeš;vas;
jde;va;
jdeme;vamos;
jdete;vais;
jdou;van;
žít;vivir;
estudiar;učit se;
significar;znamenat;
přát si;desear;
vosotros;my;
vosotras;my;holky
esto;tento;
esta;tato;
špatný;mal;
nadšený;encantador;
blond;rubia;
vysoký;alta;
malý;baja;
hambre;hlad;
sympatický;sympátoco;
veselý;alegre;
unavený;cansado;
smutný;triste;
bohatý;rica;jídlo
señora;paní;
señorita;slečna;
číšník;camarero;
mistr;maestro;
bratr;hermano;
sestra;hermana;
Slovensko;Eslovaquia;
slovo;palabra;
noviny;periódico;
časopis;revista;
batoh;mochila;
jazyk;idioma;řeč
cvičení;ejercicio;ve škole i fyzicky
obloha;cielo;
zataženo;nublado;
být;ser;stálý, dlouhodobý stav
jsem;soy;stálý, dlouhodobý stav
jsi;eres;stálý, dlouhodobý stav
je;es;stálý, dlouhodobý stav
jsme;somos;stálý, dlouhodobý stav
jste;sois;stálý, dlouhodobý stav
jsou;son;stálý, dlouhodobý stav
být;estar;přechodný stav, nálady
jsem;estoy;přechodný stav, nálady
jsi;estas;přechodný stav, nálady
je;está;přechodný stav, nálady
jsme;estamos;přechodný stav, nálady
jste;estáis;přechodný stav, nálady
jsou;están;přechodný stav, nálady
moci;poder;
mohu;puedo;
můžeš;puedes;
může;puede;
můžeme;podemos;
můžete;podéis;
mohou;pueden;
pes;perro;
červená;rojo;
zelená;verdo;
modrá;azul;
žlutá;amarillo;
černá;negro;
bílá;blanco;
hnědá;marrón;
fialová;violeta;
oranžová;naranja;barva
růžová;roso;
šedivá;gris;
pokračovat;continuar;
jaký;cómo;
comer;jíst;
tmavý;moreno;typ pleti
mladík;joven;
pěkný;guapo;
čas;tiempo;
počasí;tiempo;
omlouvám se;pardon;
spát;dormit;
ložnice;dormitorip;
auto;coche;
jídlo;comida;
muž;hombre;
žena;mujer;
dítě;hijo;
amable;milý;
ruka;mano;
mucho;hodně;
otec;padre;
matka;madre;
více;más;
velice;muy;
rychlý;pápido;
kniha;libro;
voda;agua;
možnost;posibilidad;
cizinec;extranjero;
